ID,Name,Author,Description,Price,Type
1,To Kill a Mockingbird,Harper Lee,A story of prejudice in the South,9.990000,Fiction
2,Pride and Prejudice,Jane Austen,A romance set in early 19th century England,8.990000,Fiction
3,The Catcher in the Rye,J.D. Salinger,A coming-of-age story set in New York,10.990000,Fiction
4,The Great Gatsby,F. Scott Fitzgerald,A tale of love and excess set in the Roaring Twenties,11.990000,Fiction
5,The Grapes of Wrath,John Steinbeck,A story of the Great Depression and the Dust Bowl,12.990000,Fiction
6,The Alchemist,Paulo Coelho,A journey to find one's purpose in life,14.990000,Fiction
7,Moby-Dick,Herman Melville,A sailor's hunt for the white whale,13.990000,Fiction
8,Wuthering Heights,Emily Brontë,A tale of love and revenge set on the moors,15.990000,Fiction
9,The Picture of Dorian Gray,Oscar Wilde,A story of youth beauty and corruption,16.990000,Fiction
10,The Old Man and the Sea,Ernest Hemingway,A tale of determination and perseverance,17.990000,Fiction
11,The Divine Comedy,Dante Alighieri,A journey through Hell Purgatory and Heaven,18.990000,Fiction
12,The Inferno,Dante Alighieri,A journey through the nine circles of Hell,19.990000,Fiction
13,The Republic,Plato,A philosophical treatise on justice and governance,20.990000,Non-fiction
14,The Prince,Niccolò Machiavelli,A political treatise on power and leadership,22.990000,Non-fiction
15,The Art of War,Sun Tzu,A military treatise on strategy and tactics,24.990000,Non-fiction
16,The Meditations,Marcus Aurelius,A series of philosophical reflections on Stoicism,26.990000,Non-fiction
17,The Wealth of Nations,Adam Smith,A treatise on economics and capitalism,28.990000,Non-fiction
18,The Communist Manifesto,Karl Marx and Friedrich Engels,A political treatise on communism,30.990000,Non-fiction
19,The Social Contract,Jean-Jacques Rousseau,A treatise on the nature of society and government,32.990000,Non-fiction
20,The Elements of Style,William Strunk Jr. and E.B. White,A guide to writing and style,34.990000,Non-fiction
21,How to Win Friends and Influence People,Dale Carnegie,A self-help book on personal relations,36.990000,Non-fiction
22,The 7 Habits of Highly Effective People,Stephen R. Covey,A self-help book on personal and professional effectiveness,38.990000,Non-fiction
23,Awaken the Giant Within,Tony Robbins,A self-help book on personal growth and development,40.990000,Non-fiction
24,The Power of Now,Eckhart Tolle,A spiritual guide to finding inner peace,42.990000,Non-fiction
